"S1","S2","S3","S4","S5","S6","S7"
316,140,6.75,49.1,144.5,67.5,113
323,140,6.75,48,144.5,67.5,113
310.5,136.5,6.15,47.8,138,68,111
306,137.5,6.1,48.4,138,68.5,111
304.5,143,6.75,47.9,146.5,69.5,116
305.5,140.5,6.8,48.2,147,68.5,115.5
296,136.5,7.3,50,146,66.5,117.5
289.5,134,7.05,48.8,137,64.5,113
284,135,7.25,47.9,143.5,64.5,113
293.5,134,7.75,48.4,143,63,113.5
289,133,7.8,49,141.5,64,115.5
290,131,8.7,49.9,145.5,65.5,115.5
290.5,133,8.45,49.7,142,64.5,116.5
291,136,8.35,50,135.5,64,115.5
289,131.5,7.75,49.9,130.5,63,111.5
286,135,7.6,51,129,64,113.5
283.5,131,7.45,49.8,129.5,63,113
277,131.5,7.4,48.8,130,62.5,113
271,132,7.25,50.5,123.5,61.5,111
265.5,132.5,7.25,51.5,125,61.5,109.5
256,129,6.75,50.5,119,61.5,107.5
255,125.5,6.6,50,118,61,103.5
266,126,6.8,49.3,122.5,59,100
291,131.5,7.2,49.9,125.5,59.5,101.5
292,125.5,7.25,46.8,122,62,104
292,131.5,6.4,48.2,124,62.5,106
285,128.5,5.6,48.8,120,63.5,103.5
288,135,5.9,49.4,121.5,62.5,103.5
284,134,6.15,46.2,117,61.5,105.5
283,130.5,6.35,45.5,116,61.5,103
285,128,6.1,44.1,115.5,59.5,98.5
293,133.5,6.35,45,122.5,60,103.5
291.5,138.5,6.35,46.3,118.5,60,102.5
282.5,143.5,6.05,42.1,114.5,60.5,105.5
288,144.5,6.1,40.2,116,60.5,108
291,145,6.55,40.5,121,62.5,110
298,146,6.5,38.9,123,63,110.5
290.5,144.5,6.4,37.9,118.5,63,113.5
287,146,6.15,37.9,116,63,113
291.5,144,5.95,37.8,116,63,113
285,142.5,5.85,38.3,117,62,112.5
274.5,140,5.5,36.3,110.5,62,110
271.5,139.5,5.5,36.6,108,62,109.5
265.5,144.5,5.5,36.3,109.5,63,109.5
272,147.5,5.55,35.5,113.5,64,112.5
279,147.5,5.6,36,114.5,64.5,111
276.5,144,5.35,35.9,110.5,65,110.5
272.5,137,5.15,36.6,111.5,65.5,110.5
272.5,137,4.99,35.8,111.5,66,109.5
268.5,135,5,34.2,106,65.5,110
263,135,4.84,32.9,106,65,109
257.5,135.5,4.4,33.5,107.5,66.5,109
249,129.5,4.64,32.4,111.5,66,106
263.5,132.5,5,33.4,117.5,67.5,110
270.5,137.5,5.6,34.9,124,64.5,113.5
285,141.5,6.3,34.8,129.5,64.5,117.5
282.5,146,5.95,35.4,130,62.5,117
294.5,145,6.05,35.7,130.5,64,120
299,147.5,6.1,36.6,130,65,118
306.5,148,6.3,36.8,135,65,120
300,144.5,6,36.4,129,64.5,118
304,145,6.05,35.8,130.5,64.5,118
309,145,6.05,35.6,127.5,64.5,118.5
301.5,140.5,5.8,35.4,128,63,116.5
296,138.5,5.9,35.6,126,64,115.5
289,134.5,5.3,35.4,118.5,63,115.5
295.5,134,5.45,37.3,121,63.5,117
307,138.5,5.75,40.2,128.5,64,119
292.5,138,5.85,40.9,129,64,122
297.5,137.5,6,42.3,128.5,64,122.5
312.5,144.5,6.5,43.6,134.5,64.5,126
308.5,144,6.15,43.8,129,63.5,125.5
305,143.5,6.15,42.9,128,63.5,125
296,139.5,5.9,42,122,64,124.5
292,141,5.65,41.5,123,64.5,125
297.5,141,5.65,42,124,65,125.5
