"S1","S2","S3","S4","S5","S6","S7"
264.5,148,22.4,84.5,109.5,76.25,162.5
271,147.5,22.7,83.5,110.5,77.75,166
276,148,23,85.5,113,76.5,166
269.5,146,22.6,87,109.5,75.5,165
266.5,145.5,22.4,89.5,108,74.5,163
270,145,22.8,95,109,75.5,165
275,143,22.4,92.75,108.5,75.25,166
276,142.5,21.5,93.75,106.5,75,164
275,145,21.8,93.75,106.5,77.25,166
269.5,145,21.6,92.5,104.5,78,168
267.5,145.5,21.8,92,105,79,166.5
265.5,145.5,21.4,90.75,105,79,166.5
271,145,21.7,95,103.5,78.5,167.5
248,144,21.2,95.75,101,79,167
250,146,21.6,93.5,101.5,79.25,166.5
247,152.5,21.3,93.5,104,78.75,168
242.5,152.5,21.4,93.5,106,79,169.5
241,153,20.9,97,106.5,79.5,173
241.5,152.5,21,94,104.5,78.75,172
241.5,151.5,21,94.5,105.5,78.25,170.5
237.5,151.5,21.3,93.5,104.5,78,170.5
241.5,152,21.2,93.25,104.5,77,172
243,155.5,21.2,95,105,77.75,172
245.5,154,21.9,97,106.5,77,171.5
247,152,21.5,97.25,104.5,77,169.5
251,151,21.2,97.75,106,77.75,170
251.5,151,21.6,101,108,78,174
249.5,151.5,21.2,100,105,77,170.5
248.5,146.5,20.3,98.25,104,78.5,168
247.5,143.5,20.4,98.5,103.5,81,168.5
245,145.5,20.8,97.75,104.5,81,168.5
244.5,146,21.4,99.25,105.5,82,167
244.5,147,21.2,100.5,103.5,82.25,165.5
246,145.5,21,99.75,102.5,83.25,168
245,145,20.4,100.5,99.25,82.5,167.5
244.5,146.5,20.3,99.5,97.75,82.75,165
243.5,147,19.9,98.5,97.25,83,164
247,151.5,20.2,101,98,84.75,166
249.5,151.5,20.3,101.5,99.5,84.25,163.5
261.5,151.5,20.7,102,105.5,84.25,162
263.5,146,20.3,100.5,105.5,83.75,161.5
263,149,20.5,100.5,107,84,165
266.5,151,21.1,102,108,84,166
271.5,150.5,21,103.5,109,85.25,166.5
271,147.5,20.4,102.5,109,87.25,166
274.5,147,20.5,102.5,110,86,166.5
275.5,147,21.3,103.5,110,86,166.5
277.5,148,21,103,111.5,84.5,167
279,145.5,22,103.5,111,84.25,167.5
278,146.5,20.2,103,111,84,168
277,149,20.2,101,112,82.5,171
275.5,146.5,20.4,101,112,82.75,170
271.5,163.5,20.6,99.5,112,82.5,171.5
273.5,163.5,20.4,98.25,110.5,82.75,168.5
272.5,164.5,20.1,99,109.5,84,170
274.5,163,19.8,96.75,110,83.25,169
286,162.5,19.8,97.25,109.5,84,171
286,165.5,20,97,111.5,83.75,166.5
282,165.5,19.7,95.25,109.5,83,165
278,165.5,19.6,96,109.5,82.25,165
274.5,165,20.2,97.25,112,82,166
270,164.5,20.2,97,111,81,166.5
273.5,163.5,20.4,96.5,111.5,81,167
275,169.5,20.8,96,111.5,81,166.5
283.5,168.5,20.5,96.5,110,81,165
283.5,170,20.8,96.75,110.5,80.5,165
284,170.5,20.7,96.5,110.5,81,166
280.5,167.5,20.3,95.25,111,81.5,166.5
279,168.5,20.6,97.5,111,80.5,167
281.5,167,20.3,97.75,110,80.25,167
284,167.5,20.6,97.5,110,80.75,168
283.5,166,20.5,95.5,111,82,167
288.5,166,20.5,97.25,111.5,82.5,167
282,162.5,19.8,96.75,110,82,166.5
282.5,164,19.9,97,111.5,82.75,166
280.5,163.5,19.9,97.75,111,82.25,165
280.5,162,19.7,98.25,110,82.75,165
279,165,19.9,97.5,110,83.75,165.5
279,165.5,20.3,97.5,109,84,165
281,166.5,20.1,97.75,107,85.25,165.5
279,164.5,20,98,108.5,84.75,166
276.5,163.5,20,98,109,85.5,164.5
279.5,164.5,19.9,96,109.5,86.5,167
282,165,20.2,97.25,111,88.25,167.5
279.5,162.5,19.9,98.25,108.5,87.25,167
289,163,20.1,101,109,87.75,168
290,163.5,20.2,101,109,89,169.5
289,163,20.2,102,111,88,171.5
292.5,162,20.6,100.5,109.5,88.25,171
292,165.5,20.7,101.5,109,90.25,170
291.5,166,20.5,101.5,107.5,88.5,170.5
297.5,162.5,20.9,101,108,87.5,172
303.5,162,20.9,100.5,108,87,171.5
309,160.5,20.2,100.5,105,87,172
307,160,20.1,98.5,104,85.5,169
307,158.5,20,99.75,106,85.25,167
305.5,157,20.1,100,108,84,171
304,149,20.8,99,113.5,86,171
304,149,21.6,98.5,115,85.5,171.5
304,148.5,21.4,100,115.5,86.25,171
308,146,21.3,97,114,87.75,168
306,142.5,20.9,95.5,112.5,85.5,160
310,143.5,20.9,96.25,113.5,83.75,159.5
310.5,143.5,20.9,96.25,113.5,84,158.5
313,147.5,20.9,96.75,115,84,159
316.5,148,21,96.5,114.5,84,158
316,146.5,21.1,97,116,83,159
319,146,21.9,96,121,84.25,161.5
314.5,147,22,94.25,122.5,85.25,161
311.5,145.5,21.7,93.75,121.5,86,160
310,143.5,21.7,93.5,120.5,86.25,159
310.5,145.5,22.4,94.75,122.5,87,160.5
311,146,22.4,96.5,124.5,86.5,160
312.5,149,22.5,95.25,125.5,86.5,160.5
315,148,22.6,94.25,125,86.25,160
316.5,150,22.8,96.5,127.5,86.75,161.5
315,151.5,23,99.5,127.5,87.5,161.5
312,159,23.1,97.5,127,86.75,161
310.5,156.5,23.2,96.75,127,86.75,160.5
308,158.5,23.2,98.25,127.5,86.5,159.5
311,159,23,100.5,124.5,85.75,159.5
314,160,23.2,98.75,126,86.5,160
313.5,161.5,23.1,100,125.5,86.25,160.5
315.5,161.5,23.3,99.75,126,86.25,160
316.5,162.5,23.4,99,125,85.25,160
318.5,161.5,23.4,100,127.5,85.25,161.5
314.5,160.5,23.5,100.5,128,85.5,161
314,161.5,23.5,100.5,128,86.25,160
315,160,23.6,100.5,128,87.25,160.5
314.5,158,23.7,101,128,87.25,160.5
317,157.5,23.5,101,126.5,87.75,160.5
319,158,23.9,103.5,128.5,87.75,160
320,156,23.8,104,130,89,158.5
317.5,160.5,24.3,105,131,89.5,159
314.5,161,24.2,106,130.5,90,158
313,163,24.2,104,131.5,89.75,158.5
312,161.5,24.2,107,129.5,88.25,159
317,160,24.8,104,129.5,88,158.5
320,162,25.2,107,131.5,87.5,157
321.5,163.5,25.4,106.5,133.5,88,156.5
320.5,166,26.2,105.5,134.5,88.5,157
314.5,165,25.2,102.5,131,87.75,156.5
317.5,162.5,25.2,104,131,88.25,157
321,165,25.4,104,133,88.75,158
324.5,166.5,25.1,104.5,131,88.75,158
324.5,166.5,25.5,105,132,89,158
324.5,165.5,25.8,106.5,131.5,89.75,159
325,165.5,25.6,107,132,89.5,159.5
326,166,25.9,108,132.5,90.25,159.5
322,163.5,25.4,106.5,130.5,89,158.5
327,166,25.9,106.5,134,89.5,158.5
329,168.5,26.5,107.5,137.5,90.5,159.5
324,169.5,26.6,106.5,135.5,90.5,160
324,168.5,26.8,109,137.5,90.5,162
326.5,169,26.9,110.5,139,92,161.5
327,169,26.6,111.5,138.5,92,161.5
324.5,167,26.7,111.5,139,92.5,162.5
319.5,175.5,26.7,114,141,92.25,163.5
319.5,174,26.3,112.5,138.5,93.25,161
320,176.5,27,116.5,124.5,95.25,161
319,178.5,26.6,116,121.5,95,162.5
321.5,174.5,26.7,116,119.5,95.5,163
320,178,26.5,114.5,121.5,95.25,163
322.5,175,26.8,113.5,123.5,96.25,165
340,175,26.9,114,124.5,96,165.5
351.5,174.5,26.6,112.5,123.5,97.25,166
350.5,174,26.5,113,122,97.25,165.5
351,173.5,26.7,113,123.5,97.5,168.5
353,170,26.7,111.5,123.5,97.25,169.5
351,172.5,26.3,111,122,97.25,168
353,169,26.3,110,121,98.75,169.5
352,171.5,26.2,108.5,122,98,170.5
353,173.5,26.5,109.5,124.5,97.25,171
352,176,27.4,109.5,125.5,96.75,173.5
351,174.5,27.3,108.5,122.5,96.75,174
354,174,27.3,109,122.5,96.25,172.5
352,173.5,27.5,109.5,121.5,96,171.5
359,172,27.4,110.5,121,95.75,171.5
357,172,26.8,112.5,120,96,172
356.5,170.5,26.7,112,120.5,95.5,172.5
356,171,26.8,110,121,95.5,174
355.5,172.5,26.7,112,121,96,175
353,172.5,26.5,110,119.5,96.5,170.5
348,168.5,26.2,106,119.5,96.25,167.5
346,167,25.6,104.5,118,96,165
340,165,25.7,104,117,95.25,163
345,166,26,106,118,95.75,164
346,166,25.7,106.5,118,95.5,162.5
346.5,170,26.2,107.5,118.5,96,164
351,168.5,26.2,108.5,118.5,96.5,164.5
356,167.5,25.9,108.5,117.5,96.75,165.5
356.5,166.5,26,109,119,97.25,166.5
360,168.5,26.1,109.5,120,97.25,166
365.5,170,26.3,112,120,97.25,165
367,167.5,26.5,110,120,95,164.5
366,169,27.3,113,122,94.25,165
368.5,169,27.4,112.5,121.5,94.25,163.5
367,170.5,27.3,114,126.5,94.5,163
367.5,174.5,27.3,114,127,94.5,163.5
366.5,175.5,27.2,112,127.5,95.75,164
364.5,179.5,27.2,112,126.5,96.75,168.5
367.5,179,27.3,115,126,96.25,168
361,178,27.5,114.5,127,94.5,167.5
356.5,177,27.2,112,125,93.75,166.5
361,177,27.2,112,125.5,93.75,166
364.5,178,27.2,112,126,93.5,164.5
368.5,177,27.7,111.5,128,94.75,166.5
370.5,177,27.8,113,127.5,94.5,171
363,178,28.3,115,127.5,93,172
363,179.5,28.3,115,126.5,92.5,171.5
361,181.5,28.3,117,129.5,92.5,177
365.5,183,28.8,117.5,132.5,94.25,178.5
372.5,182.5,28.8,118.5,133,95,177.5
379,180.5,28.4,116,132,94.5,175.5
376,179.5,28,114,130,93.5,174
375,178,28,113.5,128.5,93.75,175.5
375.5,180.5,28,115,129.5,93.75,176
372.5,179.5,27.9,115.5,131.5,94,176
371,178.5,27.4,114.5,131,93.25,174.5
370,177,27.1,114,131,92,172.5
373,175,27.5,114,132,91.25,174.5
369.5,176.5,27.3,113.5,133,90.75,174
362,174,27,113,133.5,90.5,172.5
367,171,26.5,112,133,91,169
360.5,173,26.2,112,126,91,170
366,173.5,26.1,111.5,127,91.75,169
370,176,26.1,111.5,128.5,92.25,170.5
364.5,182.5,26.3,112.5,128.5,89.75,170
363,184,26,113,128,90.25,175
352,181,25.5,112.5,127,89,175
349,181.5,25.5,111,127,89,177
357,185.5,26,112,132,90.5,180.5
358,186,25.9,111,135.5,90,181
362.5,187.5,26,112.5,136,90.25,181
367,187.5,26.8,113.5,139,91,182
365.5,187,27,85,138.5,91.5,181
373.5,189.5,26.7,85.75,139,90.5,183
367.5,187.5,26.5,86.25,138,90.25,184.5
367,187.5,26.5,85.5,138.5,90.25,184
363.5,187,26.6,85,138.5,91,184
366.5,192,26.7,85,140.5,91.75,186.5
369,190.5,26.8,83.75,141.5,92.75,187
368.5,193,26.7,82.5,140.5,92.25,186
365,191.5,26.9,82.75,139,92,185.5
366.5,192.5,26.8,83.5,141,92.5,184
367.5,192.5,27.2,83.25,141.5,92,184
364.5,193.5,27.3,82.75,141.5,91.75,186
362,193.5,26.8,82.5,140.5,91.75,183
369.5,193,26.8,81.75,140.5,92.75,183
367.5,192,26.7,81.5,140,92.25,183
373,192,26.7,81.75,140.5,93.25,183.5
369.5,190.5,26.8,81.25,139,93.25,184
373.5,189,26.6,80.75,139.5,93.25,181
374,188,26.4,79.75,138,92.5,180
378.5,192.5,27,80,139,93.25,184.5
379.5,191,27.2,82.25,139,94,185.5
378,191,26.8,81.5,140.5,92.75,184
374,195.5,27.8,81.75,140.5,91.25,186.5
374,195.5,27.9,80.75,142.5,90.25,188
377.5,197.5,27.8,81,146,91.5,189.5
383,197,27.7,81.5,143,91.5,189
380.5,199,27.4,81.5,144,90.5,191
385.5,199.5,27.3,81.5,145.5,91.5,188
384.5,200,27.1,81.5,145.5,92,187
382.5,199.5,27,81.5,144.5,94,186
385,202,27.5,83.25,146.5,93.25,187.5
392,205,27.3,81.5,147.5,92.5,188.5
389.5,204,27.1,81.75,146,92.75,191
384.5,205,27.4,82.75,145.5,92.5,191.5
385.5,205,27.3,83,147,92,192
388,205.5,27.4,83.25,148.5,91.5,195.5
389.5,208,27.5,84,149,92.5,198.5
387,208,27.3,85,146.5,92.5,197.5
390.5,208.5,27.4,86.5,147,94.5,197.5
388.5,206.5,27.3,86.5,144.5,93.5,196.5
390,209,27.5,85.75,146.5,93.75,197
390,209.5,27.7,86.5,145,94.25,196.5
394.5,208.5,27.8,87,147.5,96.5,196
394,209,27.6,85.75,148.5,95.75,196
392,209,28.5,83,150.5,95.5,195
389,206.5,28.4,82.25,149,94.5,191.5
388,205,28.4,82,146.5,94.75,193
389.5,207.5,27.6,82.75,145.5,94.5,192
384,204.5,27.2,82.5,144.5,97,192
386,206,27.3,84.25,145,98,192.5
381.5,202,26.9,84.75,143.5,96.25,191
364,200.5,26.4,84.75,142,95.5,186.5
363,197.5,26.6,85.75,143.5,96.25,185
361.5,193.5,26.1,84.5,140,95,184.5
356.5,196.5,26.2,85.75,138.5,95,185.5
352.5,196,25.8,85,138,94.75,184
361,198.5,26.1,85.5,140.5,96.5,183.5
362,199.5,26.6,90.75,138,95,183
368.5,204.5,26.9,88.5,138.5,94.25,186
366,205,27.2,89.5,138,95,186
369.5,203,27.4,89,139,95.75,188
372,210,27.7,88.75,141,96.25,191
360.5,211,27.6,90,141,96,187.5
361,210,27.4,91.25,140,97.5,188.5
363,210,27.4,90.5,139.5,98.5,190
365,209,26.9,86.5,137.5,97.25,190
358.5,205.5,26.6,83,139,97.5,194
361,209,26.7,82.25,140.5,99.5,197
359.5,207.5,26.5,83,139.5,100.5,196.5
358.5,209,26.8,84.5,140,99.5,195.5
357.5,217,27.1,84.25,143.5,99,196
356.5,215,27.4,84,146,103,193
356.5,218,27.8,84.25,149,103,191.5
353.5,217,27.3,83.75,148,104.5,193
352.5,218,27.3,83,147.5,106.5,192.5
359.5,219.5,27.4,81.5,148,104.5,203
364,219.5,27.5,81.25,148.5,107,206.5
364,217.5,27.3,79.75,149.5,107,207.5
365.5,217.5,27.4,82,149.5,107.5,212
371,220,27.6,83.75,149.5,107.5,211
366,219,27,81.5,148.5,106,206.5
368.5,220,27.3,83,149,105.5,210
363.5,221.5,27.3,79,150.5,106.5,208.5
363.5,222,27.4,81.25,149,106.5,210
366,222.5,27.5,82.5,150,109,211
365,221.5,27.5,82.5,152.5,108,205
374,217.5,27.2,82.75,155,106.5,203.5
387.5,219.5,27.3,82.75,157.5,108.5,203.5
390.5,219.5,26.9,81.5,157.5,107.5,205
400.5,220.5,27,82.5,159,106,208.5
397.5,220,27.2,82.5,159.5,106,206.5
392,217.5,27.6,84,158.5,108,210
392,217,28.2,83.5,158.5,107.5,207.5
391.5,216.5,28.5,84.75,157.5,107.5,208
387.5,218,29.6,85.25,159,108.5,208
391,216,29.9,85.5,160,108,210
396,219.5,30.3,88.5,158.5,109,211
396,221,30.4,89.25,159,109.5,211
403.5,222,30.5,89.75,158.5,108,212
395,221.5,29.8,90.25,159,106,212
395,218.5,29.7,93,157.5,107,213
397.5,220,29.8,92.75,157,108.5,216.5
395.5,224,30.5,92.25,165,108,218
392,223.5,29.6,93.5,161,106.5,216
393,226,29.8,109.5,161.5,107.5,218
389,223,29.2,110,158.5,108.5,221.5
391.5,223,29.3,112,159.5,109.5,221.5
390,220.5,29.1,112.5,159.5,109.5,221
395,224,29.1,112.5,159.5,107.5,220
394.5,224.5,29.3,113,158.5,107,221
391,223.5,28.5,113,164,106.5,220.5
394.5,224.5,29.3,112,162.5,107.5,220.5
396.5,224.5,29.5,110.5,162.5,107,221
394,223,29.3,111,161.5,108,222
396.5,225,28.8,111,162.5,113,229
402,229.5,28.7,112,170.5,111.5,230.5
408,230,26.6,112,174,109.5,232
402.5,223.5,26.3,111.5,171,110.5,224
403,218.5,26.7,111,170.5,114,222
400,219.5,26.9,110.5,172,113.5,217.5
410.5,222.5,26.4,111,171,113,210.5
407,220.5,26.2,110.5,168,110.5,212
409,220.5,26.1,110,169,112.5,212.5
404.5,221,25.9,109,167.5,114,210.5
401,222,25.9,109,168,114,214
398.5,227,26.4,109,167.5,112,214
399,227.5,26.2,108,168.5,111.5,213
402,227.5,26.1,108.5,168.5,110.5,212
400,223,24.8,104.5,166.5,113.5,213
398,220.5,25.4,107.5,161,115,214
392.5,216,24.5,107,156.5,114.5,209.5
393,211,24.1,110,159,117,207.5
400.5,212.5,24.7,110,160.5,116,205.5
392.5,197.5,23.4,110,156,113,196
388.5,198,23.2,109.5,153,110,196.5
387,199,22.8,110,154,109.5,197.5
376.5,193,22.4,110,149.5,105.5,189.5
386,197.5,23.3,111.5,156.5,106.5,199
379,191,22.8,112,153.5,107,190
386,199,23.7,113.5,159.5,113,197
386,200,24.1,113.5,159,113,200
376.5,194.5,23.1,110.5,154,112.5,195.5
382,200.5,23.1,113,154.5,114,196
385.5,200.5,23.2,113,158.5,115,197.5
